ball,1,2,3,4,5,6,7,8,9,10,summary,sample,pre
std,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,100.00
std,0.000,0.010,0.000,0.010,0.000,0.010,0.000,0.010,0.050,0.050,0.140
,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,
std,10.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00
cpdp,0.000,0.680,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.710
,ok,ok,ok,Runtime error 139.(MLE will cause RE as well in linux),Runtime error 139.(MLE will cause RE as well in linux),Runtime error 139.(MLE will cause RE as well in linux),Runtime error 139.(MLE will cause RE as well in linux),Runtime error 139.(MLE will cause RE as well in linux),Runtime error 139.(MLE will cause RE as well in linux),Runtime error 139.(MLE will cause RE as well in linux),
std,0.00,0.00,0.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,30.00
eqs,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.070,0.050,0.000
,wa,wa,wa,ok,ok,ok,wa,wa,wa,wa,
std,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,0.00,0.00,80.00
sorta,0.000,0.000,0.000,0.000,0.010,0.060,0.010,0.030,0.000,0.000,0.110
,ok,ok,ok,ok,ok,ok,ok,ok,Runtime error 139.(MLE will cause RE as well in linux),Runtime error 139.(MLE will cause RE as well in linux),
