lis,1,2,3,4,5,6,7,8,9,10,summary,sample,pre
std,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,100.00
std,0.040,0.040,0.040,0.040,0.050,0.050,0.050,0.050,0.050,0.060,0.470
,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,
std,10.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00
naive,0.000,0.000,0.580,0.190,0.000,0.000,0.000,0.000,0.000,0.000,0.770
,ok,ok,ok,ok,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,
std,10.00,10.00,10.00,10.00,10.00,10.00,10.00,0.00,0.00,0.00,70.00
killa,0.000,0.000,0.170,0.070,0.040,0.260,0.040,0.000,0.000,0.000,0.580
,ok,ok,ok,ok,ok,ok,ok,Time out.,Time out.,Time out.,
std,10.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00
brute,0.000,0.000,0.280,0.120,1.910,2.620,1.730,0.000,0.000,0.000,0.400
,ok,ok,ok,ok,ok(but time out),ok(but time out),ok(but time out),Time out.,Time out.,Time out.,
std,0.00,0.00,0.00,0.00,10.00,10.00,10.00,0.00,0.00,0.00,30.00
dp,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,wa,wa,wa,wa,ok,ok,ok,wa,wa,wa,
